age,experience,education_level,job_level,department,job_role,performance_rating,projects_completed,certifications,weekly_hours,overtime_hours,team_size,leadership_score,skill_match_score,years_in_role,promotions,employment_type,location_type,company_size,job_satisfaction,salary
45,29,High School,Lead,HR,Analyst,4,19,3,52,3,1,6.28921114803837,1.1284928351724912,10,3,Part-time,Urban,Medium,1,133778.11359183618
47,22,PhD,Junior,Sales,Manager,2,2,9,44,19,12,3.351955563468117,6.411851419025361,12,1,Full-time,Suburban,Small,4,90123.47968325742
48,18,PhD,Mid,HR,Analyst,2,10,5,45,9,6,9.86462172663248,6.063693362806495,1,3,Full-time,Rural,Medium,3,119646.27715550445
36,31,Master,Senior,IT,Manager,5,17,6,56,8,9,3.7875536535477865,2.2124415778275317,5,0,Full-time,Suburban,Small,1,125352.25144608298
35,29,PhD,Junior,Marketing,Manager,4,37,2,37,1,5,3.177645721070464,2.358243844421768,13,4,Full-time,Urban,Small,2,149525.8487038445
23,28,High School,Senior,Sales,Analyst,3,12,2,39,13,16,3.5061876182381138,8.134097390151641,7,3,Part-time,Rural,Medium,3,111223.13275602454
57,28,High School,Junior,HR,Consultant,5,6,9,33,15,18,9.068255715333658,8.988062125714148,7,4,Contract,Suburban,Medium,3,165867.49406752226
27,29,Master,Senior,Finance,Manager,2,22,7,48,0,17,6.725969458024103,3.547152692953926,10,1,Contract,Suburban,Large,2,156220.7424259757
41,15,PhD,Mid,Sales,Manager,4,32,4,48,1,18,7.576156876786988,4.941675675663116,6,3,Contract,Suburban,Large,2,112429.85481215708
29,18,PhD,Mid,IT,Analyst,5,41,3,57,6,1,9.262094590849154,4.194955369345182,9,2,Contract,Rural,Large,2,123876.02770963903
59,17,High School,Junior,IT,Consultant,4,20,6,50,9,19,9.206852363605067,1.652923116879867,10,1,Full-time,Urban,Large,1,94933.10229901271
38,0,PhD,Lead,Finance,Manager,2,1,6,56,19,8,7.6505126192085475,7.058838214142285,3,0,Contract,Rural,Large,1,45004.08288948951
24,13,PhD,Senior,HR,Manager,5,47,8,44,0,3,2.7804198595719063,8.426736413251211,6,0,Contract,Rural,Medium,1,101086.62210403872
45,1,PhD,Lead,Sales,Consultant,2,6,8,43,12,5,8.59035988607505,3.7439142165208636,12,4,Part-time,Urban,Large,5,61016.08945738847
34,27,Bachelor,Lead,HR,Manager,1,19,4,30,0,8,2.8339843077195734,9.911582142676465,9,4,Part-time,Rural,Medium,3,157171.40464088644
29,29,Master,Lead,IT,Consultant,2,18,7,45,4,19,7.686089326885887,1.6826640155411945,5,2,Part-time,Rural,Large,1,137989.22829810754
46,3,Bachelor,Mid,HR,Consultant,4,6,9,39,15,18,7.170427598903869,6.9561164243306886,10,2,Full-time,Suburban,Small,5,61984.48337184898
22,0,Master,Junior,IT,Analyst,3,45,0,48,14,18,7.8299996512640195,5.034052130734801,5,0,Full-time,Rural,Large,3,48590.37460525437
40,7,High School,Junior,HR,Developer,2,33,8,59,16,1,5.794171126424342,5.019417109959903,1,3,Full-time,Suburban,Small,1,75554.69657417928
48,28,PhD,Mid,Finance,Consultant,3,23,7,51,15,15,6.748535640242976,5.118810544301862,7,0,Part-time,Rural,Medium,2,129187.23198443794
27,2,Master,Mid,Marketing,Analyst,1,23,5,32,12,18,9.579880723908298,3.328135964212856,7,0,Contract,Suburban,Large,4,34794.10775373005
28,31,Bachelor,Junior,Finance,Developer,5,26,2,34,10,7,1.9097973475679342,7.440065445990092,13,2,Part-time,Suburban,Medium,1,162289.11048843793
55,9,PhD,Lead,Finance,Manager,5,13,2,38,16,16,3.7796254730345797,7.494188734765242,10,4,Full-time,Suburban,Large,4,96485.58567788143
34,9,High School,Senior,Marketing,Developer,3,7,7,47,16,16,6.502213117885442,3.5415739909524433,6,2,Part-time,Urban,Medium,1,58872.4482703891
37,18,Master,Senior,Marketing,Consultant,5,15,4,40,1,15,9.676487171183403,8.517758147726052,10,2,Contract,Rural,Large,2,107355.21583838598
56,33,Master,Senior,Sales,Consultant,2,44,9,45,12,6,1.8601700289634104,3.85160449285297,8,2,Full-time,Rural,Large,4,155527.87039641288
24,32,Master,Lead,Sales,Consultant,3,27,6,31,13,9,1.2029429937707778,7.52583811587888,7,0,Contract,Rural,Small,5,123287.05218084213
22,22,PhD,Junior,Finance,Consultant,4,26,4,41,10,7,1.501746386232952,2.088997907608598,13,3,Contract,Urban,Medium,2,112065.31251202822
26,27,Bachelor,Mid,Finance,Consultant,2,33,7,51,9,14,1.4716511781507893,2.518314785233711,8,0,Full-time,Suburban,Medium,4,108643.89463161115
24,31,Bachelor,Junior,IT,Analyst,2,15,9,35,2,11,9.17034271999664,3.8421608005742605,14,1,Contract,Rural,Medium,4,146445.86212056954
49,6,Master,Lead,IT,Consultant,2,36,9,40,16,16,7.491321171404422,6.344863909010753,8,2,Part-time,Urban,Medium,2,88960.45431241096
38,28,High School,Mid,Sales,Analyst,4,45,3,56,14,6,7.093957295766504,6.809603369308293,5,2,Contract,Urban,Medium,2,149499.16481442054
46,7,High School,Lead,Sales,Manager,1,27,1,37,8,16,5.703155382356286,4.567205547707274,1,1,Contract,Rural,Small,2,73203.9891503003
54,0,Bachelor,Senior,IT,Consultant,5,5,2,41,9,16,8.037573552749368,1.7005523779946263,11,2,Contract,Suburban,Large,3,42931.868837250266
30,2,High School,Senior,IT,Consultant,3,2,7,58,7,12,2.4008319348543172,4.362711868834518,6,2,Part-time,Urban,Small,5,39898.082923453505
56,23,Bachelor,Lead,HR,Developer,1,33,6,56,12,17,4.527470708095937,7.198907643632364,2,2,Contract,Rural,Medium,1,123946.80728782644
34,22,Master,Mid,HR,Manager,3,16,1,59,17,5,5.4100382568790915,7.038959150172843,12,1,Contract,Suburban,Medium,4,137899.14399924868
51,7,Bachelor,Mid,IT,Consultant,5,23,5,31,4,13,1.9936854790905363,2.441767718848985,6,0,Part-time,Urban,Large,1,56397.81939492343
35,2,Bachelor,Junior,HR,Consultant,4,38,8,38,5,8,4.775623384037653,1.0700557324207045,8,2,Full-time,Urban,Small,2,40507.356754040244
28,32,Master,Senior,Marketing,Manager,2,16,3,44,16,5,3.848516013363583,7.776834555665051,9,3,Full-time,Rural,Large,5,141991.98340447617
34,27,High School,Junior,Sales,Analyst,2,14,8,31,10,12,1.3202393121411637,1.9573134974671933,13,1,Full-time,Rural,Large,5,112914.20766186604
43,7,Bachelor,Junior,Sales,Consultant,4,29,1,58,19,9,2.230618624563117,1.7411422956785696,9,4,Contract,Suburban,Small,3,69473.41338668272
41,33,Bachelor,Lead,IT,Developer,1,26,1,30,15,3,7.876331408507246,1.0243109515074713,1,1,Full-time,Rural,Large,2,137463.00160410337
36,34,Master,Lead,Finance,Consultant,1,35,8,39,8,3,1.1623411855418002,4.893411933612345,13,0,Part-time,Rural,Small,4,132738.69390595512
38,31,High School,Junior,IT,Developer,3,15,6,31,1,1,9.40827969186725,5.529375108107329,12,1,Contract,Suburban,Small,3,117973.91144880575
44,23,Bachelor,Senior,HR,Developer,4,3,6,41,4,18,1.7778216920251366,6.738976415337316,5,4,Contract,Rural,Medium,2,111123.0153349951
46,13,Master,Lead,Finance,Consultant,1,23,0,52,0,12,8.193142847831123,3.6645745664132727,12,3,Contract,Suburban,Large,3,90274.80002088695
45,31,Bachelor,Junior,HR,Consultant,4,29,5,37,3,9,9.087548868491236,7.3938224474810195,5,4,Full-time,Suburban,Medium,1,154464.9060681152
49,15,PhD,Junior,Marketing,Developer,5,34,6,34,3,9,9.470220263654024,2.523986716662474,8,1,Full-time,Suburban,Large,2,94461.9804264888
35,3,Master,Junior,HR,Manager,2,33,5,51,2,18,8.807293211463753,8.487910477993125,12,4,Full-time,Rural,Large,4,82934.33586028912
21,20,High School,Junior,Marketing,Manager,2,41,5,57,8,18,3.587950354828989,6.14663496001401,8,1,Contract,Suburban,Medium,4,109729.33632339373
45,13,High School,Junior,Marketing,Consultant,2,41,1,30,11,7,3.997784182046293,6.255008410348436,14,3,Part-time,Rural,Medium,2,105077.30817941262
27,30,High School,Junior,HR,Analyst,4,23,5,44,9,4,4.838911287490683,2.8879787240119734,12,3,Contract,Suburban,Medium,3,139629.19846304628
29,17,High School,Lead,HR,Manager,4,7,3,35,1,13,2.2536702046639077,1.6669787437034942,4,0,Part-time,Rural,Small,5,78751.12500417691
44,6,Bachelor,Senior,Marketing,Consultant,3,3,8,41,10,17,1.2004520956050149,5.182523227726043,13,3,Contract,Suburban,Large,2,48856.80330986072
21,9,Bachelor,Junior,Finance,Manager,2,32,0,37,9,2,8.822094528529313,6.540507567301231,4,2,Part-time,Urban,Small,4,93111.13697467843
28,6,High School,Mid,Marketing,Analyst,3,31,7,42,5,14,5.987158445894107,1.8554181279551702,8,4,Contract,Urban,Large,1,89824.0136919606
44,32,High School,Lead,Sales,Consultant,2,18,4,48,17,3,6.478506479603947,9.5548102707535,7,4,Contract,Urban,Large,4,166733.70564576067
31,22,High School,Lead,Marketing,Analyst,3,43,0,56,1,5,9.342896273360157,9.823729242095261,6,1,Part-time,Suburban,Small,5,141394.95735823392
37,20,Bachelor,Junior,Finance,Consultant,3,7,3,30,1,14,6.986081603022541,5.9091102585324276,7,3,Part-time,Rural,Small,4,103817.57763051165
28,18,High School,Lead,Sales,Analyst,5,41,0,40,9,3,7.21768153905832,9.550622397460655,5,0,Part-time,Suburban,Large,5,128681.67317098603
55,18,High School,Junior,IT,Manager,3,1,5,49,15,7,8.08271783593068,2.6150071382276776,2,0,Part-time,Suburban,Medium,2,84023.0076081233
55,28,PhD,Senior,IT,Manager,4,14,1,30,11,18,2.047136048716634,1.228786166615724,6,0,Part-time,Suburban,Medium,4,115786.22403449051
53,17,PhD,Senior,Finance,Analyst,3,32,4,59,0,13,4.241459378924124,1.3546858176135093,7,2,Part-time,Suburban,Medium,3,77650.48650950426
25,1,High School,Lead,Marketing,Analyst,2,6,6,37,7,10,9.713871349330297,6.287612314841012,14,3,Part-time,Rural,Medium,3,57265.703168543856
59,0,Master,Lead,HR,Analyst,3,39,1,34,15,13,9.30637070290546,1.5547769509314118,7,0,Part-time,Suburban,Large,4,55192.49256224117
48,4,High School,Mid,Finance,Consultant,1,10,5,46,17,16,8.956677666791663,9.626910461416784,0,2,Contract,Urban,Medium,4,71274.45581720618
27,19,PhD,Lead,Sales,Manager,2,7,5,59,12,9,5.068796593050752,2.2773988968345873,6,4,Part-time,Urban,Medium,1,95005.89437985983
29,10,Master,Mid,Sales,Consultant,1,26,4,37,14,2,8.714736582281251,3.7425052544768076,2,1,Part-time,Urban,Medium,4,73322.20606415615
28,1,Master,Senior,IT,Manager,2,34,4,54,11,5,1.4355629375118903,8.402660217985137,1,3,Contract,Suburban,Large,1,50889.30816020322
32,2,High School,Senior,Sales,Developer,4,30,2,39,7,17,2.336656818314057,2.968662907936838,13,3,Contract,Rural,Small,1,60883.689763362956
54,22,PhD,Junior,Finance,Consultant,4,36,9,31,9,4,4.725709286356487,3.1867161260911354,1,4,Full-time,Rural,Medium,1,133667.06192187557
53,11,PhD,Senior,Sales,Manager,4,21,9,38,13,17,5.350528600139138,6.7807806021191634,13,3,Full-time,Rural,Large,1,81021.9568076159
43,19,Master,Mid,Finance,Manager,1,17,1,53,4,9,3.371564381687712,3.484774796403361,14,3,Part-time,Suburban,Large,2,103601.440870594
44,4,High School,Lead,HR,Consultant,5,33,6,52,17,2,4.208290037630087,2.957028706069303,13,3,Part-time,Rural,Medium,3,64763.064475099294
57,29,Bachelor,Junior,IT,Consultant,2,10,0,32,18,18,2.4649849092283187,3.2875994287509176,7,3,Full-time,Urban,Small,1,119389.03457432972
55,8,Bachelor,Mid,Sales,Manager,4,47,5,47,14,11,5.402206285443165,5.415827494066542,8,2,Full-time,Rural,Small,3,110382.94576300433
42,33,PhD,Lead,Finance,Consultant,2,42,5,36,5,13,8.144589635810751,9.69489885458334,2,2,Part-time,Suburban,Small,1,190545.62510095816
47,34,Bachelor,Junior,Marketing,Analyst,1,12,2,44,10,8,6.952243542951751,8.490141474051054,13,1,Full-time,Suburban,Large,3,135663.8662553339
55,21,PhD,Senior,IT,Consultant,5,16,1,50,10,1,1.9701302262898714,3.561492381041594,2,3,Part-time,Rural,Medium,4,98054.02204688598
21,23,PhD,Mid,HR,Consultant,1,41,1,51,19,17,5.388234430570445,4.270358876482879,5,4,Contract,Suburban,Medium,4,119442.46232137774
55,16,PhD,Lead,Finance,Consultant,2,32,8,49,19,12,7.278817445017524,5.180610254536696,10,0,Contract,Rural,Large,3,113371.40584847762
57,9,Bachelor,Junior,HR,Manager,5,15,4,47,17,4,5.769057668985471,9.810366823152913,9,1,Full-time,Rural,Medium,1,83491.94369992458
34,29,PhD,Junior,HR,Analyst,5,27,6,54,17,13,4.525080368819941,2.551514215021441,0,0,Contract,Urban,Medium,2,116187.33679729432
23,22,Master,Senior,Sales,Developer,1,28,4,32,9,9,6.597229791554904,4.2173479314269455,5,0,Contract,Suburban,Small,3,119062.29490136885
21,31,High School,Lead,Sales,Developer,4,17,6,57,1,7,9.717747987702479,7.564834845844435,11,3,Contract,Urban,Medium,5,169786.98984256998
25,16,High School,Senior,Finance,Analyst,2,46,3,59,8,5,1.854171187894702,9.67549360842049,2,4,Contract,Suburban,Medium,2,143406.45948214925
46,16,PhD,Senior,Marketing,Analyst,3,2,7,52,13,5,4.510144546728046,2.4010769148781392,10,0,Part-time,Rural,Large,5,78942.29542463362
34,13,High School,Lead,Finance,Analyst,3,36,9,43,18,17,4.659452677414861,3.046419587749112,3,0,Part-time,Suburban,Large,3,82616.12538660872
59,8,Bachelor,Lead,Marketing,Manager,1,7,9,53,9,9,6.192705794215339,3.0312520695138723,8,1,Full-time,Rural,Small,1,56990.55185171344
47,1,Bachelor,Lead,HR,Developer,2,13,6,31,3,6,2.3695714169372613,1.1883882654286615,2,4,Contract,Suburban,Large,5,34680.16690469327
29,24,High School,Mid,IT,Analyst,2,15,9,43,5,19,2.589787268834226,6.437040624828546,0,4,Contract,Urban,Small,3,135827.13476349282
35,8,Bachelor,Lead,Finance,Manager,1,25,4,51,13,16,3.568252473980692,7.036327667313044,2,0,Contract,Urban,Small,2,77810.0814682059
35,21,High School,Junior,Finance,Developer,2,23,5,40,3,2,9.602830389416676,6.4227330111272805,6,4,Full-time,Rural,Medium,1,115933.28590743995
46,3,High School,Senior,Marketing,Consultant,4,22,4,45,14,10,7.606977231078123,1.641906904715329,12,1,Part-time,Urban,Small,5,64743.99299852099
33,25,High School,Mid,HR,Manager,1,26,6,37,15,16,6.955239715223529,1.6230711317106854,6,1,Contract,Rural,Medium,3,102257.46988231526
52,28,PhD,Lead,HR,Developer,4,33,1,36,6,5,8.35261918654836,2.8934789904471163,10,1,Part-time,Rural,Small,1,164576.29720385693
59,33,High School,Mid,Marketing,Manager,2,11,4,40,16,15,2.1481882202502365,3.6126506412902315,4,3,Full-time,Rural,Large,1,150998.433903274
52,22,PhD,Lead,HR,Developer,1,10,9,32,18,13,8.733995377513764,8.078892903190425,13,0,Part-time,Suburban,Large,4,100284.95233611917
24,10,High School,Mid,Sales,Developer,2,25,2,46,18,13,6.353494424987536,2.43451239174029,0,4,Contract,Rural,Large,1,85683.25731414666
50,5,High School,Senior,IT,Consultant,1,37,8,43,16,13,4.017961067130419,1.3968299475777892,10,1,Part-time,Urban,Small,3,61958.8608305321
57,17,High School,Senior,Finance,Manager,2,48,5,35,5,15,8.342697301711214,4.545887569417497,7,0,Part-time,Suburban,Small,2,102813.18739536518
43,20,Bachelor,Junior,IT,Analyst,4,43,9,37,10,14,8.223080809137617,4.747529531277283,9,0,Full-time,Urban,Medium,4,108151.55584807601
59,33,PhD,Junior,Finance,Consultant,4,38,2,51,15,8,8.611377235450544,5.058166043700588,7,3,Full-time,Rural,Medium,3,172886.03286217904
35,16,PhD,Lead,Sales,Consultant,2,41,6,34,7,11,2.0396611009628396,8.442131896242717,9,4,Full-time,Rural,Medium,3,114091.01107657973
49,24,High School,Senior,HR,Developer,1,45,3,56,10,18,9.724251204961984,1.8820487338384755,11,4,Full-time,Urban,Medium,3,128510.81840444944
56,11,High School,Mid,Marketing,Analyst,3,24,2,57,6,4,9.63663538410758,7.335478741797659,9,1,Part-time,Suburban,Small,5,107972.88773488798
33,22,Bachelor,Mid,Sales,Manager,4,40,7,37,18,10,4.217226809515674,4.041510139407617,12,1,Part-time,Urban,Small,5,107648.68354267771
52,21,Bachelor,Mid,IT,Analyst,4,46,3,31,9,1,1.5930461639072768,3.7898212279192296,9,0,Full-time,Rural,Medium,2,109581.99541268316
27,20,Bachelor,Junior,Marketing,Analyst,3,33,0,44,8,5,2.5035010252190713,9.39288813477382,1,4,Full-time,Suburban,Small,3,131807.48526317527
42,26,PhD,Mid,HR,Analyst,2,17,5,41,3,13,9.935477429002272,3.2362167197506784,9,4,Contract,Rural,Small,5,139551.22065252956
48,30,PhD,Junior,Sales,Analyst,1,24,9,46,14,1,6.0671164885449675,6.782786518054297,2,1,Contract,Rural,Small,5,149397.93137886457
22,5,PhD,Junior,Marketing,Analyst,2,37,0,30,12,8,4.2095961894344684,3.4761498163848286,3,2,Full-time,Urban,Small,5,62209.20375982444
26,26,High School,Lead,Sales,Developer,5,2,4,44,1,3,3.5938242446503494,5.564294943763466,0,0,Part-time,Rural,Medium,2,89064.1542629955
48,33,PhD,Mid,Sales,Developer,4,32,6,43,1,3,3.312925617798528,8.076636033366501,3,4,Full-time,Urban,Medium,2,165949.66909031718
48,11,Master,Mid,HR,Consultant,5,24,5,49,15,7,6.977374885490338,8.935502711646345,4,3,Part-time,Suburban,Small,3,115550.139216653
40,6,Master,Senior,Finance,Developer,4,9,1,51,8,4,4.774490483677173,8.548275162655454,2,3,Part-time,Rural,Large,4,75978.16295378399
50,9,Bachelor,Lead,Marketing,Consultant,4,4,3,45,12,3,9.688696294317504,6.239626625301758,13,2,Contract,Rural,Medium,3,82608.96871351662
31,16,PhD,Senior,HR,Consultant,5,17,1,58,2,15,7.154587275808253,3.239346838043999,10,1,Full-time,Suburban,Medium,5,103169.67486248635
48,25,Master,Lead,Sales,Manager,5,17,0,38,8,8,8.128401319440652,6.951100449356792,14,1,Full-time,Urban,Large,5,142714.9873695773
45,20,Bachelor,Mid,HR,Analyst,2,48,2,30,12,3,3.634673937248439,7.389145412016472,9,1,Part-time,Rural,Medium,1,101878.34328631785
59,27,PhD,Junior,Finance,Developer,5,30,2,57,1,7,1.7126776819776326,1.0962279110215127,1,3,Full-time,Suburban,Large,3,128979.08383276234
53,1,High School,Junior,Marketing,Manager,2,40,6,46,7,18,5.390405536436929,4.952894598386871,12,1,Contract,Rural,Large,5,54210.90535722281
21,0,Master,Junior,Finance,Developer,2,11,0,58,8,11,3.8312339189160456,8.58935838539588,5,3,Contract,Urban,Small,5,53387.05756193933
47,25,High School,Junior,IT,Consultant,2,21,8,42,15,11,2.818748485071313,5.406288366187426,7,2,Full-time,Urban,Medium,4,98955.65612368076
33,28,PhD,Junior,Marketing,Developer,4,21,5,50,1,17,9.573779177207753,3.80237897946989,6,0,Full-time,Urban,Large,1,148384.3583311988
23,20,Master,Senior,Finance,Analyst,4,18,3,55,5,6,4.995893929078273,8.846179939221965,10,4,Contract,Urban,Small,3,129174.47602753995
59,10,PhD,Lead,Sales,Consultant,5,29,2,50,7,8,2.572377328439071,2.4029262777682514,13,2,Full-time,Suburban,Medium,2,82901.99375176316
26,10,High School,Mid,Marketing,Consultant,4,24,2,34,4,1,2.787855874130252,2.8580070917458036,0,3,Part-time,Rural,Small,3,96380.57161770339
28,34,Master,Senior,Marketing,Manager,5,10,1,39,8,10,3.5263876821813462,7.1863513024252,3,2,Full-time,Suburban,Small,3,159365.1815944307
47,33,High School,Lead,HR,Analyst,4,45,1,35,0,19,9.993846413707415,4.171923473739175,2,4,Part-time,Urban,Large,4,164518.4324821082
29,23,PhD,Junior,Sales,Consultant,1,17,9,53,8,3,3.412103504676376,7.41715152160401,5,0,Full-time,Urban,Medium,3,105002.64910384818
57,21,PhD,Lead,IT,Analyst,1,18,4,48,9,4,3.9592162412060827,2.419332591335427,8,4,Full-time,Urban,Small,4,111715.64488989903
53,4,High School,Lead,Finance,Developer,5,42,8,54,3,11,6.933953151856013,3.2704218064076134,8,3,Contract,Urban,Large,4,82610.2479582968
44,32,Master,Junior,HR,Analyst,4,48,1,42,2,15,3.6456523876926847,2.4098264052727014,6,4,Part-time,Rural,Large,5,178384.08549211203
35,19,High School,Junior,Finance,Consultant,4,20,1,30,9,1,2.9422382595372403,9.576192822071587,14,2,Contract,Urban,Small,2,108265.33698699615
52,18,PhD,Junior,IT,Manager,2,37,5,49,14,9,2.427734679846388,4.648635647658317,11,1,Full-time,Rural,Small,4,111428.28369871512
52,34,High School,Mid,IT,Consultant,3,45,9,54,10,11,3.8141439852501295,4.034979189192034,8,2,Contract,Urban,Large,1,167606.4108330789
44,16,PhD,Junior,Marketing,Analyst,5,18,1,44,13,19,1.9532412066589617,1.1278194055368824,7,3,Full-time,Rural,Small,1,91613.69778570467
32,33,High School,Mid,IT,Analyst,3,17,3,43,5,13,1.167819277733046,2.3807582146979867,4,0,Full-time,Rural,Small,2,128100.82661281913
59,8,Master,Junior,Finance,Consultant,3,9,5,37,11,16,8.241775276012095,4.790222706182496,8,4,Full-time,Urban,Medium,4,72182.22193695448
22,25,Master,Mid,Sales,Analyst,5,14,4,39,12,4,2.2410544817311893,1.6165251331470465,13,0,Part-time,Suburban,Large,2,102450.85644564105
23,1,High School,Lead,Sales,Developer,4,49,0,38,16,1,7.9837916483371805,5.596653965555952,6,3,Part-time,Suburban,Small,5,87230.39326694567
57,8,High School,Senior,Marketing,Consultant,5,29,5,46,15,13,8.177882310879937,5.095138946180031,4,4,Part-time,Suburban,Large,1,97102.44055505883
37,8,Master,Lead,Finance,Manager,3,31,0,38,2,1,5.841275736963188,7.904513263099168,14,2,Contract,Suburban,Medium,3,88546.22172446163
22,16,PhD,Lead,Finance,Consultant,4,4,2,32,1,5,3.787137624816563,6.938224312602849,7,2,Full-time,Suburban,Large,1,104844.2689977231
22,0,Master,Junior,IT,Developer,1,18,9,40,10,5,2.305294603748996,5.013525747885164,14,3,Contract,Urban,Large,4,22071.96573995216
48,24,PhD,Mid,Finance,Developer,5,20,4,41,8,14,7.631245960488991,3.021946300945643,6,4,Contract,Urban,Large,2,139511.2056136754
43,24,High School,Senior,HR,Developer,5,47,9,39,2,14,6.4124828738360735,7.541772094160257,8,2,Full-time,Urban,Medium,1,167944.78112740707
57,34,High School,Junior,IT,Developer,4,43,4,54,17,8,6.899081108442077,7.370758931087837,9,3,Contract,Urban,Medium,3,175956.39305000627
52,2,PhD,Junior,HR,Developer,1,44,9,46,19,4,1.0780218086061795,2.3796654446384866,0,3,Full-time,Urban,Large,3,38662.41699616153
53,29,High School,Junior,Marketing,Manager,1,9,5,46,14,7,9.34765314137042,9.232766482828625,14,0,Full-time,Urban,Large,2,132386.28896020987
21,33,PhD,Lead,Sales,Analyst,4,13,9,54,13,19,1.5966116870189522,1.5796460441353886,12,2,Full-time,Rural,Medium,2,117471.51174071693
39,11,Bachelor,Mid,Marketing,Developer,2,15,7,40,1,15,4.301252966260051,1.4953393800344457,8,4,Full-time,Rural,Small,1,77097.70511000593
22,18,Master,Mid,Sales,Developer,5,27,4,59,16,4,4.6244048468653025,2.6861537589618427,14,2,Contract,Urban,Medium,4,105727.25377158335
46,16,Bachelor,Senior,Marketing,Consultant,5,15,0,51,7,19,1.0121997204815396,9.185147182438941,6,2,Contract,Urban,Large,5,106674.58591809007
52,9,PhD,Mid,Finance,Manager,3,28,4,33,9,9,5.473803784157174,5.679983116332297,0,2,Contract,Rural,Small,3,81835.20926567964
26,11,Master,Mid,HR,Manager,4,37,2,36,17,13,7.77528095059909,8.091468286056102,0,3,Part-time,Rural,Small,2,113238.1837947751
52,15,PhD,Junior,Sales,Analyst,3,19,3,50,18,14,8.409417878032949,3.0505886926885055,4,1,Contract,Urban,Small,5,96450.14673530236
